VendorNumber,VendorName,Brand,Description,AvgPurchasePrice,TotalPurchaseQuantity,TotalPurchaseDollars,AvgActualPrice,TotalVolume,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,FreightCost,EstimatedProfit,GrossProfit,ProfitMargin,SalesToPurchaseRatio,StockTurnover
1128,BROWN-FORMAN CORP          ,1233,Jack Daniels No 7 Black,26.27,145080,3811251.6,36.99,11522000.0,5101919.51,672819.31,142049.0,260999.19999999998,68601.68,1222066.2299999997,1290667.9099999997,25.297692514949137,1.3386467348416462,0.9791080783016267
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,164038,3804041.22,28.990000000000002,11385500.0,4819073.49,561512.37,160247.0,294438.66,144929.24,870103.03,1015032.27,21.062809523579187,1.2668299871892554,0.9768895012131336
17035,PERNOD RICARD USA          ,8068,Absolut 80 Proof,18.239999999999995,187407,3418303.68,24.989999999999995,12878250.0,4538120.6,461140.14999999997,187140.0,343854.07,123780.22,996036.6999999995,1119816.9199999995,24.67578583081286,1.3275943347432488,0.9985752933454993
3960,DIAGEO NORTH AMERICA INC   ,4261,Capt Morgan Spiced Rum,16.17,201682,3261197.94,22.99,11854500.0,4475972.88,420050.00999999995,200412.0,368242.8,257032.07,957742.8699999999,1214774.94,27.139908408024134,1.3724934709114895,0.9937029581221923
3960,DIAGEO NORTH AMERICA INC   ,3545,Ketel One Vodka,21.89,138109,3023206.01,29.99,11070500.0,4223107.62,545778.28,135838.0,249587.83,257032.07,942869.5400000003,1199901.6100000003,28.41276420040653,1.3968970708681545,0.9835564662693959
480,BACARDI USA INC            ,3858,Grey Goose Vodka,17.77,138809,2466635.93,23.99,2974500.0,3383912.4,446932.08999999997,141860.0,111699.19,89286.27,827990.1999999997,917276.4699999997,27.106980369822804,1.3718734730341822,1.0219798428055817
17035,PERNOD RICARD USA          ,2589,Jameson Irish Whiskey,30.760000000000005,70783,2177285.08,39.99,7693000.0,2773367.73,614529.3400000001,69627.0,127931.67,123780.22,472302.42999999993,596082.6499999999,21.493098212403297,1.2737733590678901,0.9836683949535906
3960,DIAGEO NORTH AMERICA INC   ,3102,Smirnoff Traveler,12.94,161386,2088334.84,17.99,8834000.0,2592041.35,292586.29,148265.0,272422.6,257032.07,246674.44,503706.51,19.43281151745515,1.2412000701956396,0.9186980283295949
3960,DIAGEO NORTH AMERICA INC   ,3489,Tanqueray,20.73,91835,1903739.55,27.99,10601500.0,2640491.19,503661.01999999996,90481.0,166244.44,257032.07,479719.5699999999,736751.6399999999,27.902067720968233,1.3870023291789046,0.9852561659498013
12546,JIM BEAM BRANDS COMPANY    ,1376,Jim Beam,16.29,108866,1773427.14,21.99,11088000.0,2435393.39,426902.77999999997,107061.0,196707.35,123880.97,538085.2800000003,661966.2500000002,27.18108099981335,1.3732694933269152,0.9834199842007606
17035,PERNOD RICARD USA          ,2585,Jameson Irish Whiskey,16.42,93205,1530426.1,22.99,3312000.0,2148965.53,436011.63999999996,91247.0,71840.56999999999,123780.22,494759.20999999973,618539.4299999997,28.78312478097309,1.4041615795757794,0.9789925433184915
3960,DIAGEO NORTH AMERICA INC   ,2757,Johnnie Walker Red Label,22.38,66942,1498161.96,29.99,7628250.0,1840615.67,442856.19999999995,61433.0,112875.19,257032.07,85421.63999999996,342453.70999999996,18.605389250000247,1.2285825692704144,0.917704878850348
480,BACARDI USA INC            ,2663,Dewars White Label,21.42,69001,1478001.42,29.99,8293250.0,2189368.78,495957.83,70122.0,128839.08,89286.27,622081.0899999999,711367.3599999999,32.49189293728761,1.4813035700601693,1.0162461413602701
10000,MAJESTIC FINE WINES        ,6570,Kendall Jackson Chard Vt RSV,6.77,215668,1460072.3599999999,10.99,4368750.0,2326007.78,189608.96,214238.0,24083.77,17587.59,848347.83,865935.4199999999,37.2283974045865,1.59307705818087,0.9933694382105829
9165,ULTRA BEVERAGE COMPANY LLP ,3650,Patron Silver Tequila,33.81,42951,1452173.31,48.99,2073750.0,2009508.61,662320.04,41639.0,32783.09,68054.7,489280.60000000003,557335.3,27.734904803418587,1.3837939288389758,0.9694535633629019
3960,DIAGEO NORTH AMERICA INC   ,2753,Johnnie Walker Black Label,44.77,31596,1414552.92,59.99,3489500.0,1739044.28,507291.43,28372.0,52133.72,257032.07,67459.2900000001,324491.3600000001,18.659177556997,1.2293949949924816,0.897961767312318
17035,PERNOD RICARD USA          ,5364,Kahlua,23.07,60645,1399080.15,29.99,10136000.0,1844950.29,504735.06,59771.0,109817.06999999999,123780.22,322089.92000000016,445870.14000000013,24.167054387140162,1.3186880608662772,0.9855882595432435
3960,DIAGEO NORTH AMERICA INC   ,8082,Baileys Irish Cream,21.73,64249,1396130.77,33.99,7803250.0,2068091.16,494487.65,65184.0,119767.49,257032.07,414928.3199999999,671960.3899999999,32.49181675337754,1.4813018983887876,1.0145527556849134
3960,DIAGEO NORTH AMERICA INC   ,8680,Crown Royal,28.879999999999995,47546,1373128.48,39.99,8328250.0,1884307.34,596574.93,47966.0,88129.8,257032.07,254146.7900000001,511178.8600000001,27.128210411789834,1.3722731466468456,1.0088335506667228
3960,DIAGEO NORTH AMERICA INC   ,4260,Capt Morgan Original Barrel,16.66,79078,1317439.48,21.99,2527000.0,1635666.58,121065.24999999999,79042.0,145234.95,257032.07,61195.030000000086,318227.1000000001,19.455499298640685,1.2415496915273863,0.9995447532815701
480,BACARDI USA INC            ,3348,Bombay Sapphire Gin,22.38,57349,1283470.62,29.99,7574000.0,1766391.1199999999,460087.95,56888.0,104524.54,89286.27,393634.22999999975,482920.49999999977,27.339386760504087,1.3762614371336368,0.9919614988927444
480,BACARDI USA INC            ,3857,Grey Goose Vodka,38.27,33388,1277758.76,49.99000000000001,5328750.0,1699669.55,589137.79,32945.0,60533.43,89286.27,332624.52,421910.79000000004,24.823106938639928,1.3301959675079824,0.9867317599137415
8664,"STOLI GROUP,(USA) LLC      ",8112,Stolichnaya,19.52,61936,1208990.72,24.990000000000002,9504250.0,1528730.27,392353.54,61323.0,112669.45,18544.49,301195.06000000006,319739.55000000005,20.91536723479676,1.264468159027722,0.9901026866442779
480,BACARDI USA INC            ,126,Grey Goose Vodka,20.140000000000004,59878,1205942.92,32.99,3460000.0,1736610.87,294049.49,58013.0,60913.65,89286.27,441381.68000000017,530667.9500000002,30.557677552715084,1.4400440030776915,0.9688533351147333
12546,JIM BEAM BRANDS COMPANY    ,3512,Pinnacle Vodka,11.76,101480,1193404.8,16.99,11303250.0,1624366.6199999999,306439.94,98938.0,181782.13,123880.97,307080.84999999986,430961.81999999983,26.531068460394724,1.3611195631189013,0.9749507292077256
